"Step","MIFL - test_acc5","MIFL - test_acc5__MIN","MIFL - test_acc5__MAX","Missing-modal FedAvg - test_acc5","Missing-modal FedAvg - test_acc5__MIN","Missing-modal FedAvg - test_acc5__MAX","FedMSplit - test_acc5","FedMSplit - test_acc5__MIN","FedMSplit - test_acc5__MAX","FedAvg - test_acc5","FedAvg - test_acc5__MIN","FedAvg - test_acc5__MAX"
"0","0.2","0.2","0.2","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.202","0.202","0.202","0.276","0.276","0.276"
"1","0.238","0.238","0.238","0.21437578814627994","0.21437578814627994","0.21437578814627994","0.184","0.184","0.184","0.224","0.224","0.224"
"2","0.228","0.228","0.228","0.21059268600252207","0.21059268600252207","0.21059268600252207","0.194","0.194","0.194","0.232","0.232","0.232"
"3","0.458","0.458","0.458","0.31273644388398486","0.31273644388398486","0.31273644388398486","0.254","0.254","0.254","0.206","0.206","0.206"
"4","0.424","0.424","0.424","0.43505674653215637","0.43505674653215637","0.43505674653215637","0.398","0.398","0.398","0.214","0.214","0.214"
"5","0.578","0.578","0.578","0.47162673392181587","0.47162673392181587","0.47162673392181587","0.464","0.464","0.464","0.216","0.216","0.216"
"6","0.608","0.608","0.608","0.4703656998738966","0.4703656998738966","0.4703656998738966","0.548","0.548","0.548","0.224","0.224","0.224"
"7","0.624","0.624","0.624","0.49810844892812106","0.49810844892812106","0.49810844892812106","0.572","0.572","0.572","0.316","0.316","0.316"
"8","0.61","0.61","0.61","0.5573770491803278","0.5573770491803278","0.5573770491803278","0.6","0.6","0.6","0.36","0.36","0.36"
"9","0.612","0.612","0.612","0.6254728877679697","0.6254728877679697","0.6254728877679697","0.606","0.606","0.606","0.53","0.53","0.53"
"10","0.676","0.676","0.676","0.6519546027742749","0.6519546027742749","0.6519546027742749","0.628","0.628","0.628","0.456","0.456","0.456"
"11","0.686","0.686","0.686","0.669609079445145","0.669609079445145","0.669609079445145","0.664","0.664","0.664","0.564","0.564","0.564"
"12","0.622","0.622","0.622","0.6506935687263556","0.6506935687263556","0.6506935687263556","0.634","0.634","0.634","0.61","0.61","0.61"
"13","0.662","0.662","0.662","0.6279949558638083","0.6279949558638083","0.6279949558638083","0.676","0.676","0.676","0.628","0.628","0.628"
"14","0.654","0.654","0.654","0.6834804539722572","0.6834804539722572","0.6834804539722572","0.682","0.682","0.682","0.654","0.654","0.654"
"15","0.7","0.7","0.7","0.6860025220680959","0.6860025220680959","0.6860025220680959","0.674","0.674","0.674","0.62","0.62","0.62"
"16","0.622","0.622","0.622","0.7049180327868853","0.7049180327868853","0.7049180327868853","0.674","0.674","0.674","0.638","0.638","0.638"
"17","0.704","0.704","0.704","0.6872635561160151","0.6872635561160151","0.6872635561160151","0.7","0.7","0.7","0.596","0.596","0.596"
"18","0.722","0.722","0.722","0.7137452711223203","0.7137452711223203","0.7137452711223203","0.702","0.702","0.702","0.62","0.62","0.62"
"19","0.72","0.72","0.72","0.7175283732660782","0.7175283732660782","0.7175283732660782","0.712","0.712","0.712","0.602","0.602","0.602"
"20","0.632","0.632","0.632","0.7225725094577553","0.7225725094577553","0.7225725094577553","0.674","0.674","0.674","0.658","0.658","0.658"
"21","0.706","0.706","0.706","0.7288776796973518","0.7288776796973518","0.7288776796973518","0.706","0.706","0.706","0.672","0.672","0.672"
"22","0.704","0.704","0.704","0.7351828499369483","0.7351828499369483","0.7351828499369483","0.698","0.698","0.698","0.674","0.674","0.674"
