Step,full_modal - test_acc,full_modal - test_acc__MIN,full_modal - test_acc__MAX
0,0,0,0
1,0.150063052,0.150063052,0.150063052
2,0.210592686,0.210592686,0.210592686
3,0.219419924,0.219419924,0.219419924
4,0.262295082,0.262295082,0.262295082
5,0.344262295,0.344262295,0.344262295
6,0.493064313,0.493064313,0.493064313
7,0.58259773,0.58259773,0.58259773
8,0.585119798,0.585119798,0.585119798
9,0.617906683,0.617906683,0.617906683
10,0.600252207,0.600252207,0.600252207
11,0.651954603,0.651954603,0.651954603
12,0.678436318,0.678436318,0.678436318
13,0.669609079,0.669609079,0.669609079
14,0.693568726,0.693568726,0.693568726
15,0.703656999,0.703656999,0.703656999
16,0.692307692,0.692307692,0.692307692
17,0.726355612,0.726355612,0.726355612
18,0.711223203,0.711223203,0.711223203
19,0.718789407,0.718789407,0.718789407
20,0.727616646,0.727616646,0.727616646
21,0.737704918,0.737704918,0.737704918
22,0.746532156,0.746532156,0.746532156
23,0.72887768,0.72887768,0.72887768
24,0.740226986,0.740226986,0.740226986
25,0.73518285,0.73518285,0.73518285
26,0.745271122,0.745271122,0.745271122
27,0.738965952,0.738965952,0.738965952
28,0.762925599,0.762925599,0.762925599
29,0.773013871,0.773013871,0.773013871
30,0.744010088,0.744010088,0.744010088
31,0.762925599,0.762925599,0.762925599
32,0.754098361,0.754098361,0.754098361
33,0.756620429,0.756620429,0.756620429
34,0.766708701,0.766708701,0.766708701
35,0.757881463,0.757881463,0.757881463
36,0.750315259,0.750315259,0.750315259
37,0.780580076,0.780580076,0.780580076
38,0.759142497,0.759142497,0.759142497
39,0.760403531,0.760403531,0.760403531
40,0.74779319,0.74779319,0.74779319
41,0.761664565,0.761664565,0.761664565
42,0.764186633,0.764186633,0.764186633
43,0.783102144,0.783102144,0.783102144
44,0.755359395,0.755359395,0.755359395
45,0.774274905,0.774274905,0.774274905
46,0.767969735,0.767969735,0.767969735
47,0.760403531,0.760403531,0.760403531
48,0.754098361,0.754098361,0.754098361
49,0.769230769,0.769230769,0.769230769
50,0.766708701,0.766708701,0.766708701
51,0.789407314,0.789407314,0.789407314
52,0.775535939,0.775535939,0.775535939
53,0.770491803,0.770491803,0.770491803
54,0.779319042,0.779319042,0.779319042
55,0.760403531,0.760403531,0.760403531
56,0.766708701,0.766708701,0.766708701
57,0.783102144,0.783102144,0.783102144
58,0.761664565,0.761664565,0.761664565
59,0.774274905,0.774274905,0.774274905
60,0.775535939,0.775535939,0.775535939
61,0.770491803,0.770491803,0.770491803
62,0.786885246,0.786885246,0.786885246
63,0.767969735,0.767969735,0.767969735
64,0.779319042,0.779319042,0.779319042
65,0.78184111,0.78184111,0.78184111
66,0.764186633,0.764186633,0.764186633
67,0.78184111,0.78184111,0.78184111
68,0.78814628,0.78814628,0.78814628
69,0.780580076,0.780580076,0.780580076
70,0.793190416,0.793190416,0.793190416
71,0.779319042,0.779319042,0.779319042
72,0.769230769,0.769230769,0.769230769
73,0.789407314,0.789407314,0.789407314
74,0.770491803,0.770491803,0.770491803
75,0.78184111,0.78184111,0.78184111
76,0.764186633,0.764186633,0.764186633
77,0.769230769,0.769230769,0.769230769
78,0.766708701,0.766708701,0.766708701
79,0.762925599,0.762925599,0.762925599
80,0.779319042,0.779319042,0.779319042
81,0.785624212,0.785624212,0.785624212
82,0.776796974,0.776796974,0.776796974
83,0.78184111,0.78184111,0.78184111
84,0.783102144,0.783102144,0.783102144
85,0.789407314,0.789407314,0.789407314
86,0.760403531,0.760403531,0.760403531
87,0.78184111,0.78184111,0.78184111
88,0.779319042,0.779319042,0.779319042
89,0.779319042,0.779319042,0.779319042
90,0.762925599,0.762925599,0.762925599
91,0.784363178,0.784363178,0.784363178
92,0.771752837,0.771752837,0.771752837
93,0.770491803,0.770491803,0.770491803
94,0.773013871,0.773013871,0.773013871
95,0.769230769,0.769230769,0.769230769
96,0.767969735,0.767969735,0.767969735
97,0.771752837,0.771752837,0.771752837
98,0.773013871,0.773013871,0.773013871
99,0.775535939,0.775535939,0.775535939
100,0.78184111,0.78184111,0.78184111
101,0.778058008,0.778058008,0.778058008
102,0.780580076,0.780580076,0.780580076
103,0.766708701,0.766708701,0.766708701
104,0.775535939,0.775535939,0.775535939
105,0.773013871,0.773013871,0.773013871
106,0.770491803,0.770491803,0.770491803
107,0.770491803,0.770491803,0.770491803
108,0.796973518,0.796973518,0.796973518
109,0.780580076,0.780580076,0.780580076
110,0.783102144,0.783102144,0.783102144
111,0.765447667,0.765447667,0.765447667
112,0.774274905,0.774274905,0.774274905
113,0.790668348,0.790668348,0.790668348
114,0.78814628,0.78814628,0.78814628
115,0.767969735,0.767969735,0.767969735
116,0.759142497,0.759142497,0.759142497
117,0.780580076,0.780580076,0.780580076
118,0.773013871,0.773013871,0.773013871
119,0.771752837,0.771752837,0.771752837
120,0.796973518,0.796973518,0.796973518
121,0.789407314,0.789407314,0.789407314
122,0.78184111,0.78184111,0.78184111
123,0.79445145,0.79445145,0.79445145
124,0.773013871,0.773013871,0.773013871
125,0.778058008,0.778058008,0.778058008
126,0.774274905,0.774274905,0.774274905
127,0.79445145,0.79445145,0.79445145
128,0.790668348,0.790668348,0.790668348
129,0.774274905,0.774274905,0.774274905
130,0.769230769,0.769230769,0.769230769
131,0.783102144,0.783102144,0.783102144
132,0.783102144,0.783102144,0.783102144
133,0.78184111,0.78184111,0.78184111
134,0.785624212,0.785624212,0.785624212
135,0.778058008,0.778058008,0.778058008
136,0.774274905,0.774274905,0.774274905
137,0.778058008,0.778058008,0.778058008
138,0.778058008,0.778058008,0.778058008
139,0.778058008,0.778058008,0.778058008
140,0.775535939,0.775535939,0.775535939
141,0.771752837,0.771752837,0.771752837
142,0.770491803,0.770491803,0.770491803
143,0.761664565,0.761664565,0.761664565
144,0.776796974,0.776796974,0.776796974
145,0.767969735,0.767969735,0.767969735
146,0.775535939,0.775535939,0.775535939
147,0.78184111,0.78184111,0.78184111
148,0.778058008,0.778058008,0.778058008
149,0.79445145,0.79445145,0.79445145
150,0.774274905,0.774274905,0.774274905
151,0.790668348,0.790668348,0.790668348
152,0.771752837,0.771752837,0.771752837
153,0.785624212,0.785624212,0.785624212
154,0.78184111,0.78184111,0.78184111
155,0.785624212,0.785624212,0.785624212
156,0.774274905,0.774274905,0.774274905
157,0.775535939,0.775535939,0.775535939
158,0.778058008,0.778058008,0.778058008
159,0.767969735,0.767969735,0.767969735
160,0.784363178,0.784363178,0.784363178
161,0.775535939,0.775535939,0.775535939
162,0.786885246,0.786885246,0.786885246
163,0.779319042,0.779319042,0.779319042
164,0.775535939,0.775535939,0.775535939
165,0.78184111,0.78184111,0.78184111
166,0.778058008,0.778058008,0.778058008
167,0.762925599,0.762925599,0.762925599
168,0.774274905,0.774274905,0.774274905
169,0.785624212,0.785624212,0.785624212
170,0.780580076,0.780580076,0.780580076
171,0.778058008,0.778058008,0.778058008
172,0.771752837,0.771752837,0.771752837
173,0.778058008,0.778058008,0.778058008
174,0.762925599,0.762925599,0.762925599
175,0.776796974,0.776796974,0.776796974
176,0.774274905,0.774274905,0.774274905
177,0.769230769,0.769230769,0.769230769
178,0.778058008,0.778058008,0.778058008
179,0.771752837,0.771752837,0.771752837
180,0.775535939,0.775535939,0.775535939
181,0.78814628,0.78814628,0.78814628
182,0.783102144,0.783102144,0.783102144
183,0.776796974,0.776796974,0.776796974
184,0.780580076,0.780580076,0.780580076
185,0.780580076,0.780580076,0.780580076
186,0.764186633,0.764186633,0.764186633
187,0.775535939,0.775535939,0.775535939
188,0.791929382,0.791929382,0.791929382
189,0.784363178,0.784363178,0.784363178
190,0.773013871,0.773013871,0.773013871
191,0.785624212,0.785624212,0.785624212
192,0.775535939,0.775535939,0.775535939
193,0.78184111,0.78184111,0.78184111
194,0.769230769,0.769230769,0.769230769
195,0.773013871,0.773013871,0.773013871
196,0.779319042,0.779319042,0.779319042
197,0.769230769,0.769230769,0.769230769
198,0.765447667,0.765447667,0.765447667
199,0.790668348,0.790668348,0.790668348
200,0.755359395,0.755359395,0.755359395
201,0.778058008,0.778058008,0.778058008
202,0.780580076,0.780580076,0.780580076
203,0.769230769,0.769230769,0.769230769
204,0.786885246,0.786885246,0.786885246
205,0.778058008,0.778058008,0.778058008
206,0.773013871,0.773013871,0.773013871
